"Sponsor Name","Town/City","Additional Locations","Sponsor Type","Status","Route","Immigration Compliance"
"Edge Grove School Trust Ltd","Aldenham Village",,"Independent school","Student Sponsor","Student",
"Edge Hill University","Ormskirk",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Edgeborough School","Farnham",,"Independent school","Student Sponsor","Child Student",
"Edinburgh College","Edinburgh",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Edinburgh Montessori Arts School","Edinburgh",,"Independent school","Probationary Sponsor","Child Student",
"Edinburgh Napier University","Edinburgh","Edinburgh International College (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Edinburgh Theological Seminary","Edinburgh",,"Private provider","Student Sponsor - Track Record","Student",
"EF International Language Centres","Various","Bournemouth / Brighton / Bristol / Cambridge / London / Manchester / Oxford","Private provider","Student Sponsor","Student",
"Effingham Schools Trust","Dorking",,"Independent school","Student Sponsor","Child Student",
"Effingham Schools Trust","Dorking",,"Independent school","Student Sponsor","Student",
"Ellesmere College Limited","Ellesmere",,"Independent school","Student Sponsor","Child Student",
"Ellesmere College Limited","Ellesmere",,"Independent school","Student Sponsor","Student",
"Elmhurst Ballet School in Association with Birmingham Royal Ballet","Birmingham",,"Independent school","Student Sponsor","Child Student",
"Elmhurst Ballet School in Association with Birmingham Royal Ballet","Birmingham",,"Independent school","Student Sponsor","Student",
"Elstree School","Reading",,"Independent school","Student Sponsor","Child Student",
"Emanuel School","London",,"Independent school","Student Sponsor","Child Student",
"Emanuel School","London",,"Independent school","Student Sponsor","Student",
"Embley","Romsey",,"Independent school","Student Sponsor","Child Student",
"Embley","Romsey",,"Independent school","Student Sponsor","Student",
"Emmanuel Christian School","Leicester",,"Independent school","Student Sponsor","Child Student",
"Empire College London Ltd","Essex","London","Private provider","Student Sponsor","Student",
"English National Ballet School","London",,"Private provider","Student Sponsor","Student",
"Epsom College","Epsom",,"Independent school","Student Sponsor","Child Student",
"Epsom College","Epsom",,"Independent school","Student Sponsor","Student",
"Erskine Stewart's Melville Governing Council","Edinburgh",,"Independent school","Student Sponsor","Child Student",
"Erskine Stewart's Melville Governing Council","Edinburgh",,"Independent school","Student Sponsor","Student",
"ESCP Europe Business School","LONDON",,"Private provider","Student Sponsor - Track Record","Student",
"ETC International College","Bournemouth",,"Private provider","Student Sponsor","Student",
"Eton College","Windsor",,"Independent school","Student Sponsor","Child Student",
"Eton College","Windsor",,"Independent school","Student Sponsor","Student",
"Eton End School Trust (Datchet) Limited","Datchet",,"Independent school","Student Sponsor","Child Student",
"Eurospeak Language Schools Ltd","Reading","Southampton","Private provider","Student Sponsor","Student",
"Eurythmy UK Ltd","East Grinstead",,"Private provider","Student Sponsor","Student",
"EUSA LLP","London",,"Private provider","Student Sponsor","Student",
"Ewell Castle School","Ewell",,"Independent school","Student Sponsor","Child Student",
"Ewell Castle School","Ewell",,"Independent school","Student Sponsor","Student",
"Exeter Cathedral School","Exeter",,"Independent school","Student Sponsor","Child Student",
"Exeter School","Exeter",,"Independent school","Student Sponsor","Child Student",
"FAIRLEY HOUSE SCHOOL","LONDON",,"Independent school","Student Sponsor","Child Student",
"Fairview Int School  - Bridge of Allan","Bridge of Allan",,"Independent school","Probationary Sponsor","Child Student",
"Fairview Int School  - Bridge of Allan","Bridge of Allan",,"Independent school","Probationary Sponsor","Student",
"Falkner House LLP","London",,"Independent school","Student Sponsor","Child Student",
"Falmouth University","Falmouth",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Farleigh School","Andover",,"Independent school","Student Sponsor","Child Student",
"Farlington School Limited","Horsham",,"Independent school","Student Sponsor","Child Student",
"Farlington School Limited","Horsham",,"Independent school","Student Sponsor","Student",
"Farnborough College of Technology","Farnborough",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Farringtons School","Chislehurst",,"Independent school","Student Sponsor","Child Student",
"Farringtons School","Chislehurst",,"Independent school","Student Sponsor","Student",
"Fashion Retail Academy","London",,"Private provider","Student Sponsor","Student",
"Felixstowe International College","Felixstowe",,"Independent school","Student Sponsor","Child Student",
"Felixstowe International College","Felixstowe",,"Independent school","Student Sponsor","Student",
"Felsted School","Dunmow",,"Independent school","Student Sponsor","Child Student",
"Felsted School","Dunmow",,"Independent school","Student Sponsor","Student",
"Feltonfleet School Trust Limited","Cobham",,"Independent school","Student Sponsor","Child Student",
"Fettes College","Edinburgh",,"Independent school","Student Sponsor","Child Student",
"Fettes College","Edinburgh",,"Independent school","Student Sponsor","Student",
"FHS Trust Limited","Swansea",,"Independent school","Student Sponsor","Child Student",
"FHS Trust Limited","Swansea",,"Independent school","Student Sponsor","Student",
"Fife College","DUNFERMLINE",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Finborough School Ltd","Stowmarket",,"Independent school","Student Sponsor","Child Student",
"Finborough School Ltd","Stowmarket",,"Independent school","Student Sponsor","Student",
"Fine Arts College","London",,"Independent school","Student Sponsor","Child Student",
"Fine Arts College","London",,"Independent school","Student Sponsor","Student",
"Florida State University International Programs Association UK","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Fordham University","Tarrytown",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Forres Sandle Manor School","Hampshire",,"Independent school","Student Sponsor","Child Student",
"Forth Valley College","Falkirk",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Foundation for International Education","London",,"Private provider","Student Sponsor","Student",
"Framlingham College","Framlingham",,"Independent school","Student Sponsor","Child Student",
"Framlingham College","Framlingham",,"Independent school","Student Sponsor","Student",
"Francis Holland Schools Trust","London",,"Independent school","Student Sponsor","Child Student",
"Francis Holland Schools Trust","London",,"Independent school","Student Sponsor","Student",
"Frensham Heights School","Farnham",,"Independent school","Student Sponsor","Child Student",
"Frensham Heights School","Farnham",,"Independent school","Student Sponsor","Student",
"Frewen College","Rye",,"Independent school","Student Sponsor","Child Student",
"Frewen College","Rye",,"Independent school","Student Sponsor","Student",
"Fulham Prep School (2002) Ltd","London",,"Independent school","Student Sponsor","Child Student",
"Fulneck School","Leeds",,"Independent school","Student Sponsor","Child Student",
"Fulneck School","Leeds",,"Independent school","Student Sponsor","Student",
"Fyling Hall School","Whitby",,"Independent school","Student Sponsor","Child Student",
"Fyling Hall School","Whitby",,"Independent school","Student Sponsor","Student",
"Garden House School","London",,"Independent school","Student Sponsor","Child Student",
"Gateshead Jewish Academy for Girls (also known as Beis Chaya Rochel)","Gateshead",,"Private provider","Student Sponsor","Student",
"Gateshead Talmudical College","Gateshead",,"Private provider","Student Sponsor","Student",
"Gateways Educational Trust Ltd","Leeds",,"Independent school","Student Sponsor","Child Student",
"Gemological Institute of America London (GIA England t/a GIA London)","London",,"Private provider","Student Sponsor","Student",
"George Watson's College","EDINBURGH",,"Independent school","Student Sponsor","Child Student",
"Georgetown University (USA) UK Initiatives Organisation","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"GIGGLESWICK SCHOOL","SETTLE",,"Independent school","Student Sponsor","Child Student",
"GIGGLESWICK SCHOOL","SETTLE",,"Independent school","Student Sponsor","Student",
"GIHE UK Limited","London",,"Private provider","Student Sponsor","Student",
"Girls' Education Co Ltd","High Wycombe",,"Independent school","Student Sponsor","Child Student",
"Glasgow Caledonian University","Glasgow",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Glasgow International College","Glasgow",,"Embedded college offering pathway courses","Student Sponsor - Track Record","Student",
"Glasgow School of English","Glasgow",,"Private provider","Student Sponsor","Student",
"Glenalmond College","Perth",,"Independent school","Student Sponsor","Child Student",
"Glenalmond College","Perth",,"Independent school","Student Sponsor","Student",
"Global Education Management Systems Limited","Bristol",,"Independent school","Student Sponsor","Child Student",
"Global Education Management Systems Limited","Bristol",,"Independent school","Student Sponsor","Student",
"Global Education Oregon in London","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Gloucestershire College","Cheltenham",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Goldsmiths University of London","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Gordonstoun Schools Limited","Elgin",,"Independent school","Student Sponsor","Child Student",
"Gordonstoun Schools Limited","Elgin",,"Independent school","Student Sponsor","Student",
"Gower College Swansea","Swansea",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Gracefield Preparatory School","Bristol",,"Independent school","Student Sponsor","Child Student",
"Grantham College","Grantham",,"Publicly funded college","Student Sponsor","Student",
"Greene's Tutorial College","Oxford",,"Private provider","Student Sponsor","Student",
"Greenfields Educational Trust","Forest Row",,"Independent school","Student Sponsor","Child Student",
"Greenfields Educational Trust","Forest Row",,"Independent school","Student Sponsor","Student",
"Gresham's School","Holt",,"Independent school","Student Sponsor","Child Student",
"Gresham's School","Holt",,"Independent school","Student Sponsor","Student",
"Grwp Llandrillo Menai","Rhos-on-Sea",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Guildhall School of Music & Drama","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Haberdashers' Monmouth Schools Ltd","Monmouth",,"Independent school","Student Sponsor","Child Student",
"Haberdashers' Monmouth Schools Ltd","Monmouth",,"Independent school","Student Sponsor","Student",
"Hadlow College","TONBRIDGE",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Haileybury and Imperial Service College","Hertford",,"Independent school","Student Sponsor","Child Student",
"Haileybury and Imperial Service College","Hertford",,"Independent school","Student Sponsor","Student",
"Halcyon London International School","London",,"Independent school","Student Sponsor","Child Student",
"Hall Grove School","Bagshot",,"Independent school","Student Sponsor","Child Student",
"Hampton Court House School","East Molesey",,"Independent school","Student Sponsor","Child Student",
"Hanford School","Blandford Forum",,"Independent school","Student Sponsor","Child Student",
"Hanford School","Blandford Forum",,"Independent school","Student Sponsor","Student",
"Harlaxton College","Grantham",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Harper Adams University","Newport",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Harrogate Ladies' College","Harrogate",,"Independent school","Student Sponsor","Child Student",
"Harrogate Ladies' College","Harrogate",,"Independent school","Student Sponsor","Student",
"Harrow Independent College","London",,"Independent school","Student Sponsor","Child Student",
"Harrow Independent College","London",,"Independent school","Student Sponsor","Student",
"Harrow School","Harrow on the Hill",,"Independent school","Student Sponsor","Child Student",
"Harrow School","Harrow on the Hill",,"Independent school","Student Sponsor","Student",
"Hartpury University","Gloucester",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Harvington School Educational Trust Ltd","London",,"Independent school","Student Sponsor","Child Student",
"Havant & South Downs College","Havant",,"Publicly funded college","Student Sponsor","Student",
"Headington School Oxford","Oxford",,"Independent school","Student Sponsor","Child Student",
"Headington School Oxford","Oxford",,"Independent school","Student Sponsor","Student",
"Health Education England","Birmingham",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Healthcare Education Student Support Services Limited","Winchester",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Heart of Yorkshire Education Group","Wakefield",,"Publicly funded college","Student Sponsor","Student",
"Heathfield School","Ascot",,"Independent school","Student Sponsor","Child Student",
"Heathfield School","Ascot",,"Independent school","Student Sponsor","Student",
"Hereford Cathedral School","Hereford",,"Independent school","Student Sponsor","Child Student",
"Hereford Cathedral School","Hereford",,"Independent school","Student Sponsor","Student",
"Hereford College of Arts","Hereford",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Heriot-Watt University","Edinburgh",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Highfield School","Liphook",,"Independent school","Student Sponsor","Child Student",
"Highgate School","London",,"Independent school","Student Sponsor","Child Student",
"Highgate School","London",,"Independent school","Student Sponsor","Student",
"Holmewood House School","Tunbridge Wells",,"Independent school","Student Sponsor","Child Student",
"Horris Hill School","Newbury",,"Independent school","Student Sponsor","Child Student",
"Howell's School Llandaff","Cardiff",,"Independent school","Student Sponsor","Child Student",
"Howell's School Llandaff","Cardiff",,"Independent school","Student Sponsor","Student",
"HRUC","Uxbridge",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Hull College Group","Hull",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Hult International Business School","London",,"Private provider","Student Sponsor - Track Record","Student",
"Hurlingham School","London",,"Independent school","Probationary Sponsor","Child Student",
"Hurstpierpoint College Ltd","Hassocks",,"Independent school","Student Sponsor","Child Student",
"Hurstpierpoint College Ltd","Hassocks",,"Independent school","Student Sponsor","Student",
"Hurtwood House","Dorking",,"Independent school","Student Sponsor","Child Student",
"Hurtwood House","Dorking",,"Independent school","Student Sponsor","Student",
"Hutchesons' Educational Trust","Glasgow",,"Independent school","Student Sponsor","Child Student",
"Hutchesons' Educational Trust","Glasgow",,"Independent school","Student Sponsor","Student",
"Hymers College","HULL",,"Independent school","Student Sponsor","Child Student",
"Hymers College","HULL",,"Independent school","Student Sponsor","Student",
"Ibstock Place School","London",,"Independent school","Student Sponsor","Child Student",
"Ibstock Place School","London",,"Independent school","Student Sponsor","Student",
"ICMP","Kilburn",,"Private provider","Student Sponsor - Track Record","Student",
"IES London","London",,"Private provider","Student Sponsor","Student",
"Imperial College London","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Inchbald School of Design","London",,"Private provider","Student Sponsor - Track Record","Student",
"Independent Educational Association Ltd","London",,"Independent school","Student Sponsor","Child Student",
"Inspired Learning Group (UK) Limited","Stanmore",,"Independent school","Student Sponsor","Child Student",
"Institute of Ismaili Studies","London",,"Private provider","Student Sponsor - Track Record","Student",
"Instituto Espanol Canada Blanch","London",,"Independent school","Student Sponsor","Child Student",
"International Business College Manchester","Manchester",,"Private provider","Student Sponsor","Student",
"International Community School","London",,"Independent school","Student Sponsor","Child Student",
"International House Newcastle","Newcastle upon Tyne",,"Private provider","Student Sponsor","Student",
"International House Trust Limited (t/a International House London)","London",,"Private provider","Student Sponsor","Student",
"International School of Creative Arts","Wexham, Slough",,"Independent school","Student Sponsor","Child Student",
"International School of Creative Arts","Wexham, Slough",,"Independent school","Student Sponsor","Student",
"International School of London","London",,"Independent school","Student Sponsor","Child Student",
"International Village Education Ltd","Gloucester",,"Independent school","Probationary Sponsor","Child Student",
"INTO Manchester Limited","Various","London / Manchester","Private provider","Student Sponsor - Track Record","Student",
"Ipswich High School","Ipswich",,"Independent school","Student Sponsor","Child Student",
"Ipswich School","Ipswich",,"Independent school","Student Sponsor","Child Student",
"Ipswich School","Ipswich",,"Independent school","Student Sponsor","Student",
"Isle of Wight College","Newport",,"Publicly funded college","Student Sponsor","Student",
"ISTITUTO MARANGONI","LONDON",,"Private provider","Student Sponsor - Track Record","Student",
"Itchen Sixth Form College","Southampton",,"Publicly funded college","Student Sponsor","Student",
"Ithaca College","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Jak(Leics)Ltd T/A East Midlands School of Business & Management","Leicester",,"Private provider","Student Sponsor","Student",
"James Allen's Girls' School","London",,"Independent school","Student Sponsor","Child Student",
"James Allen's Girls' School","London",,"Independent school","Student Sponsor","Student",
"James Madison University & JMU Overseas Programs Ltd","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"JOHN LEGGOTT COLLEGE","SCUNTHORPE",,"Publicly funded college","Student Sponsor","Student",
"Joseph Chamberlain College","Birmingham",,"Publicly funded college","Student Sponsor","Student",
"JSA Education Group Ltd t/a JCA London Fashion Academy","London",,"Higher Education Institution (HEI)","Student Sponsor","Student",
"Kaplan International","Various","Kaplan International: / Edinburgh / Kaplan International College London","Private provider","Student Sponsor - Track Record","Student",
"Keele University","Newcastle-under-Lyme",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Kelvinside Academy","Glasgow",,"Independent school","Student Sponsor","Child Student",
"Kennedy Independent School Trust Ltd","Shoreham-by-Sea",,"Independent school","Student Sponsor","Child Student",
"Kensington Park School","LONDON",,"Independent school","Student Sponsor","Child Student",
"Kensington Park School","LONDON",,"Independent school","Student Sponsor","Student",
"Kensington Prep School GDST","London",,"Independent school","Student Sponsor","Child Student",
"Kensington Temple Institute of Education","London",,"Private provider","Student Sponsor","Student",
"Kent College Canterbury","Canterbury",,"Independent school","Student Sponsor","Child Student",
"Kent College Canterbury","Canterbury",,"Independent school","Student Sponsor","Student",
"Kent College Pembury","Tunbridge Wells",,"Independent school","Student Sponsor","Child Student",
"Kent College Pembury","Tunbridge Wells",,"Independent school","Student Sponsor","Student",
"Kilgraston School Trust","Perth",,"Independent school","Student Sponsor","Child Student",
"Kilgraston School Trust","Perth",,"Independent school","Student Sponsor","Student",
"Kimbolton School","Huntingdon",,"Independent school","Student Sponsor","Child Student",
"King Edward's School Witley","Godalming",,"Independent school","Student Sponsor","Child Student",
"King Edward's School Witley","Godalming",,"Independent school","Student Sponsor","Student",
"King Edward's School, Bath","Bath",,"Independent school","Student Sponsor","Child Student",
"King Edward's School, Bath","Bath",,"Independent school","Student Sponsor","Student",
"King Fahad Academy","London",,"Independent school","Student Sponsor","Child Student",
"Kingham Hill Trust","Chipping Norton",,"Independent school","Student Sponsor","Child Student",
"Kingham Hill Trust","Chipping Norton",,"Independent school","Student Sponsor","Student",
"King's College London","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"King's College School","Cambridge",,"Independent school","Student Sponsor","Child Student",
"Kings Monkton School Ltd","Cardiff",,"Independent school","Student Sponsor","Child Student",
"Kings Monkton School Ltd","Cardiff",,"Independent school","Student Sponsor","Student",
"King's School Bruton","Bruton",,"Independent school","Student Sponsor","Child Student",
"King's School Bruton","Bruton",,"Independent school","Student Sponsor","Student",
"King's School, Rochester","Rochester",,"Independent school","Student Sponsor","Child Student",
"King's School, Rochester","Rochester",,"Independent school","Student Sponsor","Student",
"King's Schools Taunton Ltd","Taunton",,"Independent school","Student Sponsor","Child Student",
"King's Schools Taunton Ltd","Taunton",,"Independent school","Student Sponsor","Student",
"Kingsley School","Bideford",,"Independent school","Student Sponsor","Child Student",
"Kingsley School","Bideford",,"Independent school","Student Sponsor","Student",
"KINGS","BRIGHTON","Bournemouth / London / Oxford","Independent school","Student Sponsor","Child Student",
"KINGS","BRIGHTON","Bournemouth / London / Oxford","Independent school","Student Sponsor","Student",
"Kingston College Further Education Corporation","Kingston upon Thames",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Kingston Grammar School","Kingston upon Thames",,"Independent school","Student Sponsor","Child Student",
"Kingston Maurward College","Dorchester",,"Publicly funded college","Student Sponsor","Student",
"Kingston University","Kingston upon Thames",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Kingswood School","Bath",,"Independent school","Student Sponsor","Child Student",
"Kingswood School","Bath",,"Independent school","Student Sponsor","Student",
"Kirkham Grammar School","Preston",,"Independent school","Student Sponsor","Child Student",
"Krishnamurti Foundation Trust","Bramdean",,"Independent school","Student Sponsor","Child Student",
"Krishnamurti Foundation Trust","Bramdean",,"Independent school","Student Sponsor","Student",
"KS Dance Ltd","Warrington",,"Private provider","Student Sponsor","Student",
"L3Harris CTS Airline and Academy Training Ltd","London",,"Private provider","Student Sponsor","Student",
"Lambrook School","Bracknell",,"Independent school","Student Sponsor","Child Student",
"Lancaster University","Lancaster",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Lancing College","Lancing",,"Independent school","Student Sponsor","Child Student",
"Lancing College","Lancing",,"Independent school","Student Sponsor","Student",
"Landmark International School, Cambridge","Cambridge",,"Independent school","Student Sponsor","Child Student",
"Langley School","Norwich",,"Independent school","Student Sponsor","Child Student",
"Langley School","Norwich",,"Independent school","Student Sponsor","Student",
"Language Specialists International","Portsmouth",,"Private provider","Student Sponsor","Student",
"Lathallan School","Montrose",,"Independent school","Student Sponsor","Child Student",
"Lathallan School","Montrose",,"Independent school","Student Sponsor","Student",
"Lawrence University London Centre","London",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Le Cordon Bleu Limited","London",,"Private provider","Student Sponsor - Track Record","Student",
"Leeds Arts University","Leeds",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Leeds Beckett University","Leeds",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Leeds Conservatoire","Leeds",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Leeds Trinity University","Leeds",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Leicester Grammar School Trust","Leicester",,"Independent school","Student Sponsor","Child Student",
"Leicester Grammar School Trust","Leicester",,"Independent school","Student Sponsor","Student",
"Leicester High School for Girls","Leicester",,"Independent school","Student Sponsor","Child Student",
"Leicester High School for Girls","Leicester",,"Independent school","Student Sponsor","Student",
"Leighton Park School","Reading",,"Independent school","Student Sponsor","Child Student",
"Leighton Park School","Reading",,"Independent school","Student Sponsor","Student",
"Leiths School of Food and Wine","London",,"Private provider","Student Sponsor","Student",
"Leo Baeck College","London",,"Private provider","Student Sponsor","Student",
"Lewes Old Grammar School","Lewes",,"Independent school","Probationary Sponsor","Child Student",
"Leweston School Trust","Sherborne",,"Independent school","Student Sponsor","Child Student",
"Leweston School Trust","Sherborne",,"Independent school","Student Sponsor","Student",
"Licensed Victuallers School","Ascot",,"Independent school","Student Sponsor","Child Student",
"Licensed Victuallers School","Ascot",,"Independent school","Student Sponsor","Student",
"LILA* Liverpool Limited","Liverpool",,"Private provider","Probationary Sponsor","Student",
"Lime House School","Carlisle",,"Independent school","Student Sponsor","Child Student",
"Lime House School","Carlisle",,"Independent school","Student Sponsor","Student",
"Lincoln College","Lincoln",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Lingfield College","Lingfield",,"Independent school","Student Sponsor","Child Student",
"Lingfield College","Lingfield",,"Independent school","Student Sponsor","Student",
"Liverpool Hope University","Liverpool",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Liverpool John Moores University","Liverpool","Liverpool John Moores University ISC (Embedded College)","Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Liverpool School of Tropical Medicine","Liverpool",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Liverpool Theatre School","Liverpool",,"Private provider","Probationary Sponsor","Student",
"Lockers Park School Trust Ltd","Hemel Hempstead",,"Independent school","Student Sponsor","Child Student",
"Lockers Park School Trust Ltd","Hemel Hempstead",,"Independent school","Student Sponsor","Student",
"Lomond School Ltd","Helensburgh",,"Independent school","Student Sponsor - Track Record","Child Student",
"Lomond School Ltd","Helensburgh",,"Independent school","Student Sponsor - Track Record","Student",
"London Academy of Music and Dramatic Art","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"london Bridge Business Academy","London",,"Private provider","Student Sponsor","Student",
"London Brookes College","London",,"Private provider","Student Sponsor","Student",
"London Business School","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"London Film Academy","London",,"Private provider","Student Sponsor - Track Record","Student",
"London Film School","London",,"Private provider","Student Sponsor - Track Record","Student",
"London Institute of Banking and Finance","London",,"Private provider","Student Sponsor - Track Record","Student",
"London Interdisciplinary School","London",,"Higher Education Institution (HEI)","Student Sponsor","Student",
"London Metropolitan University","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"London School of Economics and Political Science","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"London School of Hygiene & Tropical Medicine","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"London School of Management Education","Gants Hill",,"Private provider","Probationary Sponsor","Student",
"London School of Theology","Northwood",,"Private provider","Student Sponsor - Track Record","Student",
"London South Bank University","London",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"London Studio Centre Ltd.","North Finchley",,"Private provider","Student Sponsor - Track Record","Student",
"Long Road Sixth Form College","Cambridge",,"Publicly funded college","Student Sponsor","Student",
"Longridge Towers School","Berwick Upon Twed",,"Independent school","Student Sponsor","Child Student",
"Longridge Towers School","Berwick Upon Twed",,"Independent school","Student Sponsor","Student",
"Lord Wandsworth College","Hook",,"Independent school","Student Sponsor","Child Student",
"Lord Wandsworth College","Hook",,"Independent school","Student Sponsor","Student",
"Loretto School Ltd","Musselburgh",,"Independent school","Student Sponsor","Child Student",
"Loretto School Ltd","Musselburgh",,"Independent school","Student Sponsor","Student",
"Loughborough College","Loughborough",,"Publicly funded college","Student Sponsor - Track Record","Student",
"Loughborough University","Loughborough",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"LSI Education","Various","Brighton / Cambridge / London Hampstead","Independent school","Student Sponsor","Student",
"LUBAVITCH  YESHIVA GEDOLA","LONDON",,"Private provider","Student Sponsor","Student",
"Luckley House School Limited","Wokingham",,"Independent school","Student Sponsor","Child Student",
"Luckley House School Limited","Wokingham",,"Independent school","Student Sponsor","Student",
"Lucton School","Leominster",,"Independent school","Student Sponsor","Child Student",
"Lucton School","Leominster",,"Independent school","Student Sponsor","Student",
"Ludgrove School Trust  LTD","Wokingham",,"Independent school","Student Sponsor","Child Student",
"Luther College Study Centre","Nottingham",,"Overseas Higher Education Institution","Student Sponsor","Student",
"Luther King House Educational Trust","Manchester",,"Private provider","Student Sponsor - Track Record","Student",
"LYCEE FRANCAIS CHARLES DE GAULLE","LONDON",,"Independent school","Student Sponsor","Child Student",
"Magdalen College School","Oxford",,"Independent school","Student Sponsor","Child Student",
"Magdalen College School","Oxford",,"Independent school","Student Sponsor","Student",
"Maidwell Hall School","Maidwell",,"Independent school","Probationary Sponsor","Child Student",
"Malvern College","Malvern",,"Independent school","Student Sponsor","Child Student",
"Malvern College","Malvern",,"Independent school","Student Sponsor","Student",
"Malvern House International Ltd","London",,"Private provider","Student Sponsor","Student",
"Malvern St James","Great Malvern",,"Independent school","Student Sponsor","Child Student",
"Malvern St James","Great Malvern",,"Independent school","Student Sponsor","Student",
"Manchester Grammar School","Manchester",,"Independent school","Student Sponsor","Child Student",
"Manchester Grammar School","Manchester",,"Independent school","Student Sponsor","Student",
"Manchester High School for Girls","Manchester",,"Independent school","Student Sponsor","Child Student",
"Manchester High School for Girls","Manchester",,"Independent school","Student Sponsor","Student",
"Manchester Metropolitan University","Manchester",,"Higher Education Institution (HEI)","Student Sponsor - Track Record","Student",
"Mander Portman Woodward Independent College","Birmingham",,"Independent school","Student Sponsor","Child Student",
"Mander Portman Woodward Independent College","Birmingham",,"Independent school","Student Sponsor","Student",
"Mander Portman Woodward School","London",,"Independent school","Student Sponsor","Child Student",
"Mander Portman Woodward School","London",,"Independent school","Student Sponsor","Student",
"Mander Portman Woodward","Cambridge",,"Independent school","Student Sponsor","Child Student",
"Mander Portman Woodward","Cambridge",,"Independent school","Student Sponsor","Student",
"Maria Montessori Training Organisation (The)","London",,"Private provider","Student Sponsor","Student",
"Markfield Institute of Higher Education","Markfield",,"Private provider","Student Sponsor - Track Record","Student",
"Marlborough College","Marlborough",,"Independent school","Student Sponsor","Child Student",
"Mary Hare School","Newbury",,"Independent school","Student Sponsor","Child Student",
"Marymount International School","Kingston upon Thames",,"Independent school","Student Sponsor","Child Student",
"Marymount International School","Kingston upon Thames",,"Independent school","Student Sponsor","Student",
"Mayfield School Ltd","Mayfield",,"Independent school","Student Sponsor","Child Student",
"Mayfield School Ltd","Mayfield",,"Independent school","Student Sponsor","Student",
"MC Academy Ltd","MANCHESTER",,"Private provider","Student Sponsor","Student",
"Merchant Taylors' School and prep School","Northwood",,"Independent school","Student Sponsor","Child Student",
"Merchant Taylors' School and prep School","Northwood",,"Independent school","Student Sponsor","Student",
"Merchant Taylors' Schools","Liverpool",,"Independent school","Student Sponsor","Child Student",
"Merchant Taylors' Schools","Liverpool",,"Independent school","Student Sponsor","Student",
"Merchiston Castle School","Edinburgh",,"Independent school","Student Sponsor","Child Student",
"Merchiston Castle School","Edinburgh",,"Independent school","Student Sponsor","Student",
"Met Film School","London",,"Private provider","Student Sponsor - Track Record","Student",
